梅州3频道,#genre#

港台频道,#genre#

福建频道,#genre#
甘肃卫视 高清,http://116.11.140.122:18181/tsfile/live/1093_1.m3u8
江西卫视 高清,http://116.11.140.122:18181/tsfile/live/1094_1.m3u8
四川卫视 高清,http://116.11.140.122:18181/tsfile/live/1095_1.m3u8
安徽卫视 高清,http://116.11.140.122:18181/tsfile/live/1096_1.m3u8
黑龙江卫视高清,http://116.11.140.122:18181/tsfile/live/faacts/1041_1.m3u8
云南卫视,http://116.11.140.122:18181/tsfile/live/0119_1.m3u8
重庆卫视,http://116.11.140.122:18181/tsfile/live/0142_1.m3u8
三沙卫视,http://116.11.140.122:18181/tsfile/live/1010_1.m3u8
河北卫视,http://116.11.140.122:18181/tsfile/live/0132_1.m3u8
兵团卫视,http://116.11.140.122:18181/tsfile/live/1011_1.m3u8
宁夏卫视,http://116.11.140.122:18181/tsfile/live/1012_1.m3u8
山西卫视,http://116.11.140.122:18181/tsfile/live/0118_1.m3u8
陕西卫视,http://116.11.140.122:18181/tsfile/live/0136_1.m3u8
河南卫视,http://116.11.140.122:18181/tsfile/live/0139_1.m3u8
湖北卫视,http://116.11.140.122:18181/tsfile/live/0132_2.m3u8
天津卫视,http://116.11.140.122:18181/tsfile/live/0135_1.m3u8
新疆卫视,http://116.11.140.122:18181/tsfile/live/0110_1.m3u8
西藏卫视,http://116.11.140.122:18181/tsfile/live/0111_1.m3u8
吉林卫视,http://116.11.140.122:18181/tsfile/live/0116_1.m3u8
青海卫视,http://116.11.140.122:18181/tsfile/live/0140_1.m3u8
内蒙古卫视,http://116.11.140.122:18181/tsfile/live/1003_1.m3u8
 
新动漫,http://116.11.140.122:18181/tsfile/live/1017_1.m3u8
广东少儿,http://116.11.140.122:18181/tsfile/live/1028_1.m3u8
卡酷少儿,http://116.11.140.122:18181/tsfile/live/1056_1.m3u8
金鹰卡通,http://116.11.140.122:18181/tsfile/live/1064_1.m3u8
动漫秀场,http://116.11.140.122:18181/tsfile/live/1088_1.m3u8
少儿动画,http://116.11.140.122:18181/tsfile/live/1089_1.m3u8
嘉佳卡通,http://116.11.140.122:18181/tsfile/live/1090_1.m3u8


怀化1频道,#genre#
